bins	BGR_130305_mapped_sorted	BGR_130527_mapped_sorted	BGR_130708_mapped_sorted
METABAT__1	7.189570582229914	0.20411737709217267	0.921576340783862
METABAT__10	3.703344777301903	1.3351215012649604	2.4576554025865667
METABAT__11	11.49133087399252	29.668304716556438	8.520743764281953
METABAT__12	7.774128874277474	5.943841301925005	14.598956606494445
METABAT__13	3.875147568971467	0.042633811002742515	2.3857589131658767
METABAT__14	0.5521796157703881	0.41262348919668707	16.087919611677844
METABAT__15	11.893751574959868	17.949665612743427	8.646008513610314
METABAT__16	6.2839196066651475	1.3430642736955016	8.231247655021765
METABAT__17	1.4602931532713108	14.49412564466576	1.0832858916985546
METABAT__18	3.7982914271667796	7.73167369873131	12.214443737309452
METABAT__19	3.548311412353792	3.848779672021485	4.725551631530796
METABAT__2	2.7999675435504	12.038120557905001	21.44414158541108
METABAT__20	2.7806829430181734	4.581592826943442	2.0036955391949554
METABAT__21	8.225596504271374	5.302278065928177	3.4923813717813696
METABAT__22	4.934817156966673	0.5652085327733167	3.351768723834114
METABAT__23	1.295280470166225	2.1771717877647765	7.235232386012171
METABAT__24	1.577178058787434	0.44611552945989197	3.4593453662913314
METABAT__25	3.463479628940548	5.635677588244127	11.702403008166703
METABAT__26	6.431862195110453	2.602338232937028	4.676531401148374
METABAT__27	0.6761064996173041	2.9109509405470337	2.8401724344074237
METABAT__28	2.7540051780187267	0.4755760023128772	7.523704467933702
METABAT__29	3.203359646092034	1.747765129435803	3.442399854300327
METABAT__3	3.8575148097708847	1.9035245191279586	4.371865937339381
METABAT__30	6.483857013485353	5.0832445724135145	4.294392795544184
METABAT__31	1.3589254960910453	8.688623097060049	2.841905810267245
METABAT__32	2.996034915326077	0.1369002283081781	6.3169050776590225
METABAT__33	18.670582996998117	8.801648619251997	21.04012171178194
METABAT__34	2.582121984260722	1.3757660215856282	4.6349723717175015
METABAT__35	3.36775313449291	4.358389728793548	4.15467016963598
METABAT__36	2.6518618492377812	1.3876164347191184	4.031148085049892
METABAT__37	4.198174652511779	0.8758027117832162	2.3747811743437937
METABAT__38	0.22150238213073992	2.687264097503384	2.7535105869164673
METABAT__39	4.843840779041985	4.3237733783025964	3.4069811325769352
METABAT__4	3.4822459252285456	15.876376756551462	5.43839432340339
METABAT__40	3.5228013791794517	4.830545661594914	3.1894473792427167
METABAT__41	3.434585188825175	0.09656747553045238	8.036833385277545
METABAT__42	5.333276535770128	0.008755562820160925	3.4012192714902962
METABAT__43	1.783200996172467	2.713623123199243	3.1295425548993268
METABAT__44	14.485248017250534	3.420731677434637	3.626408344291887
METABAT__45	2.32174287912313	0.028481125716613036	3.126781261238946
METABAT__46	1.1623818509203883	8.088414166751265	2.6053630650266393
METABAT__5	24.375579484330075	24.787517710284373	14.597397598334815
METABAT__6	4.051587047813945	3.2778026475666686	4.579096587154399
METABAT__7	5.786769692635545	17.723595149393468	5.1301581813200965
METABAT__8	25.14256138260172	10.631567978644092	54.432537633817816
METABAT__9	4.287054476701811	1.1825629812445426	1.632423343652804
