bins	BGR_130305_mapped_sorted	BGR_130527_mapped_sorted	BGR_130708_mapped_sorted
METABAT__1	3.492584710247344	0.5187551194621782	1.2215782592302928
METABAT__10	2.4553996893360726	1.458794024446347	2.1123005410709568
METABAT__11	5.300658836757618	10.292683307952423	4.507303751697163
METABAT__12	4.04465093759653	3.6298557908191893	6.210668654846008
METABAT__13	2.5224015438967573	0.09039288548569041	1.8648123177425906
METABAT__14	0.9163525565308633	0.8171615327454719	6.407818919702922
METABAT__15	6.083400839967531	8.340057848865413	5.183458467832094
METABAT__16	3.6364364697152767	1.5288447302250818	4.4370250737819195
METABAT__17	1.6187267828107457	7.70953886625565	1.413810536322225
METABAT__18	3.0045049450059325	4.646320847797498	7.420232383982406
METABAT__19	2.5902200479757966	2.72794721136723	3.29621509509342
METABAT__2	2.2738011440871224	5.681812037459042	8.117530203054306
METABAT__20	2.283740832969496	3.0536149124990164	1.9017441485716098
METABAT__21	4.211184240421493	3.4787808152786943	2.7852982307277863
METABAT__22	2.8434391039250997	0.9364604838637058	2.322107112223255
METABAT__23	1.4239394670985328	1.92931838690226	4.065978249752965
METABAT__24	1.4453217430601173	0.7752463831270096	2.1489555016986657
METABAT__25	2.9817602654721664	3.9926783795929164	7.652971208650425
METABAT__26	3.525136757007301	2.1306697266595096	2.9894862117549588
METABAT__27	0.9483084313483535	2.1540772528605507	1.9982122388051222
METABAT__28	2.1430949768955907	0.89064678930293	3.9471122131474425
METABAT__29	2.3088355586237665	1.7036570166473328	2.378349005970295
METABAT__3	2.645905376268459	1.8034015945780626	2.939679484899355
METABAT__30	5.65012192527581	4.90120448511233	4.116157839049888
METABAT__31	1.5642103688769526	5.211998166092902	2.6077810056567423
METABAT__32	2.2069045398855374	0.29893511177190396	3.400655570641722
METABAT__33	7.061973422952354	4.715600445906825	7.69516988015648
METABAT__34	2.179206492038443	1.4999454427903138	3.1089862758633426
METABAT__35	2.543410208083481	2.996008566603021	2.92568742060343
METABAT__36	2.1069931472224086	1.5029871075225867	2.796762696285218
METABAT__37	2.6092182763280665	1.156032967272203	1.9750720200361604
METABAT__38	0.40009298540231986	2.071312275311724	2.021105460408693
METABAT__39	2.9162102119719964	2.8894498185580604	2.4492905021503795
METABAT__4	2.473054148766398	6.8409751888788675	3.2129154008448557
METABAT__40	2.557433387516661	3.1954060646067535	2.5183858596240345
METABAT__41	2.4260508928600357	0.24262760227028657	4.160015824048242
METABAT__42	3.1169358988466813	0.034663768084136674	2.410695178810175
METABAT__43	1.6423826561482189	2.141579682572254	2.192420358540955
METABAT__44	9.777101813670116	2.9799776023812767	3.421418588184891
METABAT__45	1.7427610157168594	0.07920952530795469	2.0634833173509417
METABAT__46	1.3859624935325963	4.192703773512984	2.1953971282180107
METABAT__5	10.275496667259555	10.80269018366116	7.301025020737352
METABAT__6	2.7739153270360655	2.4375110159120084	3.018364407103336
METABAT__7	3.6584521507762933	8.440223843898004	3.5520599821830907
METABAT__8	7.869118838849196	4.960586641649122	14.523292386200348
METABAT__9	2.542224370297636	1.3572650628838188	1.5600849733486615
