bins	BGR_130305_mapped_sorted	BGR_130527_mapped_sorted	BGR_130708_mapped_sorted
METABAT__1	0.046279997289314444	0.03801571205907972	0.026996665085433427
METABAT__10	0.5297141304306223	0.02066803688096359	0.14926915525140372
METABAT__11	1.3273592097882168	4.303846421115284	0.7613684086493868
METABAT__12	0.9463243547697704	0.49852798427719436	3.0163339817925436
METABAT__13	0.009081167474890572	0.0	0.0
METABAT__14	0.0	0.0	1.712495345568478
METABAT__15	3.4195673739415424	5.566591358796777	1.9980527329211473
METABAT__16	1.6302633971627778	0.010358186074454642	3.2541967917245
METABAT__17	0.030626878148262916	2.27900005044427	0.015613702585388937
METABAT__18	0.16275329182563172	1.052845432637535	2.3705858781774776
METABAT__19	0.03443085791860545	0.049186939883722074	0.2065851475116327
METABAT__2	0.18619217168749627	2.5929549155496407	0.7300157551135441
METABAT__20	0.1267568791534484	0.3745089611351885	0.0772064627571004
METABAT__21	3.8337486286469207	0.8818390572338807	0.4447631608713844
METABAT__22	0.24449545645943413	0.004133981147864828	0.041339811478648285
METABAT__23	0.016962895362683666	0.0407109488704408	0.5535558186689102
METABAT__24	0.0	0.0	0.025782454524047295
METABAT__25	0.16842600027418186	0.7951273966432306	2.2992107479289476
METABAT__26	0.45633255706514053	0.047613211016094205	0.21449515853785014
METABAT__27	0.0018828828065497961	0.041423421744095516	0.00470720701637449
METABAT__28	0.049747047080172774	0.02379206599486524	0.6705036780371113
METABAT__29	0.04372912354822914	0.015377274214761896	0.03555994662163688
METABAT__3	0.22228725140406758	0.014068813380004278	0.4483261863761363
METABAT__30	0.8280642551150219	0.5535268228636258	0.50307129477418
METABAT__31	0.0019727251027296597	0.9587443999266146	0.13611803208834652
METABAT__32	0.043033361497820104	0.012030832246702395	0.2984571845816556
METABAT__33	5.858826693895565	2.0147469553556623	6.536502435846043
METABAT__34	0.0971800298925772	0.06996962152265558	0.29931449206913774
METABAT__35	0.058643459494962524	0.12901561088891755	0.2111164541818651
METABAT__36	0.04203818837533465	0.0033188043454211564	0.1825342389981636
METABAT__37	0.13600439546948898	0.003610736162906787	0.05716998924602413
METABAT__38	0.0	0.08049753439033552	0.008944170487815059
METABAT__39	0.4764030968194612	0.3428507642382733	0.1448478034960147
METABAT__4	0.2975505902868789	8.031191325698208	2.022006707927015
METABAT__40	0.12399962040932527	0.4884066681428526	0.0632651124537374
METABAT__41	0.19980994154842188	0.05879574835037295	2.8068994659625197
METABAT__42	0.28835685934661726	0.0	0.06630665749681573
METABAT__43	0.019539006193336882	0.12885182462632971	0.034853362398925246
METABAT__44	1.9913257263274824	0.41002687227907963	0.36918754237080476
METABAT__45	0.0023817633146523695	0.0	0.015481461545240403
METABAT__46	0.009864166319708316	0.693368690889497	0.03411357518899126
METABAT__5	2.8556413980019117	2.9029803963947765	1.5856173603105055
METABAT__6	0.10658480953294537	0.017053569525271258	0.23022318859116198
METABAT__7	2.0843572146051725	11.270816639152262	1.6329089377524648
METABAT__8	2.324671547782231	8.04683066937089	6.328904079353336
METABAT__9	0.047628325864345865	0.0014432826019498749	0.0014432826019498749
